date,,1 year,2 year,3 year,4 year,5 year,6 year,7 year,8 year,9 year,10 year
2013-01-01,1.0,6.1301396491057885,6.006197025908746,6.1111661005086315,6.232485391885539,6.344582434349145,6.441911563917128,6.525453862080837,6.59816264880388,6.663065417837514,6.722518230358878
2013-01-02,1.0,5.910060368287138,6.006759215244563,6.091637567249055,6.17860965826265,6.266886327748822,6.355738481227217,6.445048190073083,6.534776202275625,6.624555396324425,6.713562288338997
2013-01-03,1.0,5.832314564033669,5.999073792045014,6.135379120250755,6.2536671149579215,6.356920654850475,6.447935661843953,6.529925452763892,6.6058206287359,6.677779357900979,6.747027598206168
2013-01-04,1.0,5.878665791127887,5.97910430584842,6.06824038316897,6.16055689156627,6.254792315338615,6.349797680511011,6.44511603949013,6.540459642626181,6.635297552198649,6.728715512288885
2013-01-08,1.0,6.067346666597892,6.0038451319682755,6.116187520275055,6.236401618860865,6.345269838572493,6.439270000107334,6.520112235249463,6.590963911931967,6.654841320382178,6.713988130203693
2013-01-09,1.0,5.7832420648447425,5.885801935024258,5.97497554448557,6.066889175724241,6.160645668332994,6.25525205353525,6.3503325930970815,6.445638514854017,6.540650798996844,6.634448986592398
2013-01-10,1.0,5.693133326891296,5.7876405629643095,5.863650824666205,5.938835477026069,6.014275392001258,6.090411564721973,6.167930935130608,6.247314006078019,6.328485039394863,6.410731963074109
2013-01-11,1.0,5.687461679211955,5.789268736366281,5.873318624494188,5.957245909466653,6.0415209892676875,6.12612274687191,6.2114069316484075,6.29764464105316,6.384654319320766,6.471700887389222
2013-01-14,1.0,5.662596699321169,5.766033771860364,5.8525145767363265,5.940204195338685,6.029103160329852,6.118767000654622,6.209198632239808,6.300398928028393,6.3919958360418825,6.483134603347922
2013-01-15,1.0,5.897073355857719,5.7511940512445925,5.850513538180959,5.975185316807196,6.097982601689201,6.211111275420683,6.313575524886264,6.4066800650134565,6.492154428025868,6.571394772307649
2013-01-16,1.0,5.860406044921565,5.7300246987053,5.854879447943943,6.0028370811376,6.144476628353572,6.271790953594294,6.3841382187370685,6.483415560092944,6.572027308020825,6.652043010093865
2013-01-17,1.0,5.8738584108698575,5.729381422158199,5.839097459116076,5.97483756570196,6.107178127009267,6.227888907844805,6.335970820393424,6.432916757219911,6.520725006447488,6.6010850324621835
2013-01-18,1.0,5.63064915636085,5.733591337775979,5.818713333187453,5.904751418244806,5.991942369018844,6.079979851987997,6.168955935207152,6.258924339579094,6.349537916403717,6.439945582605842
2013-01-21,1.0,5.740705900937979,5.794789730527935,5.864038513033098,5.955687396344722,6.0559974146971625,6.160400202051545,6.266534469087368,6.372987518060453,6.478537759430141,6.581861077393598
2013-01-22,1.0,5.91234282402317,5.675425264088037,5.751777924952178,5.902825980534891,6.062808312792316,6.214636606522477,6.352907950527127,6.476965938900313,6.587842374472789,6.686954672220704
2013-01-23,1.0,5.636042327101621,5.749048192462409,5.847258604194535,5.94929539051463,6.053826933940885,6.159324608804364,6.264951044982348,6.370113106622327,6.4740659080683844,6.575767871409258
2013-01-24,1.0,5.607800754682035,5.719987214841909,5.816193234100031,5.9155165492691815,6.017012872276077,6.119421894454608,6.22210255051936,6.324596203410524,6.426240299720871,6.52603297459184
2013-01-25,1.0,5.584952679407801,5.695921779824083,5.790154643368755,5.887167767618516,5.986275659231331,6.086385196769759,6.186969171016061,6.2876396733766855,6.387770129137116,6.486367497005867
2013-01-28,1.0,5.67993055163592,5.723319900514297,5.797410911572754,5.884966718971049,5.982709910938642,6.086972438154047,6.195335957967599,6.305919304426796,6.416929190268723,6.526493297555712
2013-01-29,1.0,5.573762917640051,5.689098487081607,5.788177444666126,5.890657638824717,5.995444458060855,6.1011178546612355,6.206905782728028,6.312256096871139,6.416448667941578,6.518454883305762
2013-01-30,1.0,5.595717751758944,5.7096531546923535,5.808076918799821,5.910320807910494,6.015142203844978,6.121024307163588,6.227119795076512,6.332818203645488,6.437355742739942,6.539672971221957
2013-01-31,1.0,5.58823370723208,5.704497186820873,5.80584827638659,5.911757981597212,6.020627295760153,6.130646847708198,6.240740506334893,6.350134163217453,6.457959341919049,6.563101827819904
2013-02-01,1.0,5.5739551899231605,5.692629971934488,5.796674168955022,5.905800347854877,6.018147237926029,6.131680501412614,6.2451469699831215,6.357646558659494,6.4682314570284225,6.575747615908326
2013-02-04,1.0,5.668533773873781,5.726428302190953,5.8301086133775994,5.926317304213097,6.031938653585917,6.1454131906329765,6.264579465393507,6.3870592465993345,6.510382833595947,6.632041764733312
2013-02-05,1.0,5.6857748816362985,5.737582208281647,5.856287633433346,5.964325757206361,6.075873259743207,6.189767915227784,6.304947281702874,6.420273255313851,6.5344357294383455,6.645916214171764
2013-02-06,1.0,5.641326238209916,5.73206828600786,5.834272304002236,5.946300509759299,6.063212891069883,6.181714531251895,6.299934925082327,6.416655289567724,6.530776259345016,6.641096522643471
2013-02-07,1.0,5.590970907977881,5.728733523930387,5.8465345990276605,5.9627780966714035,6.0768975053815195,6.188115409165088,6.296357959419065,6.4017593247212625,6.504233306883361,6.60330832011589
2013-02-08,1.0,5.630713242855608,5.723325213994607,5.818980287064862,5.922510022613707,6.0304097500307146,6.14014383091997,6.250296272117341,6.3599105379073695,6.468012780908582,6.573427250191007
2013-02-11,1.0,5.609918758315694,5.705104875705676,5.803777589435254,5.910568259837591,6.021755526397901,6.1346426574459,6.247700502987774,6.359901893442032,6.470237941811536,6.577526079124427
